Motif_Identifier	GO_Term_Identifier	GOMo_Score	p-value	q-value
10	GO:0000792	3.170e-02	1.305e-03	2.502e-02
10	GO:0048339	3.171e-02	1.307e-03	2.502e-02
10	GO:0051272	3.201e-02	1.341e-03	2.562e-02
10	GO:0007194	3.216e-02	1.357e-03	2.579e-02
10	GO:0031280	3.216e-02	1.357e-03	2.579e-02
10	GO:0051350	3.216e-02	1.357e-03	2.579e-02
10	GO:0021766	3.223e-02	1.366e-03	2.591e-02
10	GO:0035137	3.238e-02	1.384e-03	2.619e-02
10	GO:0006986	3.246e-02	1.393e-03	2.632e-02
10	GO:0003690	3.264e-02	1.411e-03	2.661e-02
10	GO:0032890	3.274e-02	1.423e-03	2.679e-02
10	GO:0003755	3.283e-02	1.435e-03	2.694e-02
10	GO:0043966	3.285e-02	1.436e-03	2.694e-02
10	GO:0031018	3.290e-02	1.442e-03	2.701e-02
10	GO:0000079	3.300e-02	1.455e-03	2.714e-02
10	GO:0021700	3.302e-02	1.456e-03	2.714e-02
10	GO:0009953	3.303e-02	1.458e-03	2.714e-02
10	GO:0030136	3.309e-02	1.463e-03	2.719e-02
10	GO:0016071	3.323e-02	1.479e-03	2.740e-02
10	GO:0035265	3.324e-02	1.480e-03	2.740e-02
10	GO:0043467	3.345e-02	1.508e-03	2.788e-02
10	GO:0019210	3.356e-02	1.521e-03	2.806e-02
10	GO:0010800	3.360e-02	1.527e-03	2.808e-02
10	GO:0042605	3.361e-02	1.528e-03	2.808e-02
10	GO:0021532	3.363e-02	1.530e-03	2.808e-02
10	GO:0045454	3.372e-02	1.541e-03	2.822e-02
10	GO:0043551	3.378e-02	1.548e-03	2.826e-02
10	GO:0043552	3.378e-02	1.548e-03	2.826e-02
10	GO:0022843	3.381e-02	1.553e-03	2.830e-02
10	GO:0042942	3.400e-02	1.576e-03	2.865e-02
10	GO:0021879	3.405e-02	1.582e-03	2.872e-02
10	GO:0050770	3.431e-02	1.614e-03	2.924e-02
10	GO:0016817	3.433e-02	1.616e-03	2.924e-02
10	GO:0007031	3.457e-02	1.649e-03	2.978e-02
10	GO:0021799	3.460e-02	1.653e-03	2.979e-02
10	GO:0006098	3.475e-02	1.674e-03	3.012e-02
10	GO:0014037	3.491e-02	1.696e-03	3.043e-02
10	GO:0006928	3.495e-02	1.702e-03	3.043e-02
10	GO:0051674	3.495e-02	1.702e-03	3.043e-02
10	GO:0001568	3.497e-02	1.703e-03	3.043e-02
10	GO:0005057	3.516e-02	1.727e-03	3.077e-02
10	GO:0045446	3.516e-02	1.729e-03	3.077e-02
10	GO:0016859	3.522e-02	1.737e-03	3.088e-02
10	GO:0021987	3.543e-02	1.767e-03	3.134e-02
10	GO:0050768	3.545e-02	1.770e-03	3.135e-02
10	GO:0046164	3.567e-02	1.800e-03	3.182e-02
10	GO:0032436	3.572e-02	1.807e-03	3.185e-02
10	GO:0031256	3.572e-02	1.808e-03	3.185e-02
10	GO:0010746	3.611e-02	1.861e-03	3.267e-02
10	GO:0010748	3.611e-02	1.861e-03	3.267e-02
10	GO:0005840	3.617e-02	1.870e-03	3.278e-02
10	GO:0015018	3.621e-02	1.876e-03	3.278e-02
10	GO:0004721	3.622e-02	1.877e-03	3.278e-02
10	GO:0030173	3.646e-02	1.909e-03	3.326e-02
10	GO:0010828	3.652e-02	1.917e-03	3.326e-02
10	GO:0046326	3.652e-02	1.917e-03	3.326e-02
10	GO:0018105	3.652e-02	1.917e-03	3.326e-02
10	GO:0019900	3.666e-02	1.936e-03	3.348e-02
10	GO:0051443	3.666e-02	1.936e-03	3.348e-02
10	GO:0031434	3.691e-02	1.969e-03	3.398e-02
10	GO:0051301	3.743e-02	2.040e-03	3.515e-02
10	GO:0045323	3.749e-02	2.049e-03	3.524e-02
10	GO:0016972	3.776e-02	2.089e-03	3.588e-02
10	GO:0005905	3.797e-02	2.118e-03	3.631e-02
10	GO:0030511	3.805e-02	2.131e-03	3.634e-02
10	GO:0051789	3.806e-02	2.132e-03	3.634e-02
10	GO:0030178	3.806e-02	2.132e-03	3.634e-02
10	GO:0051351	3.809e-02	2.136e-03	3.634e-02
10	GO:0045667	3.810e-02	2.137e-03	3.634e-02
10	GO:0050961	3.815e-02	2.145e-03	3.635e-02
10	GO:0050965	3.815e-02	2.145e-03	3.635e-02
10	GO:0046058	3.820e-02	2.155e-03	3.644e-02
10	GO:0033613	3.834e-02	2.175e-03	3.666e-02
10	GO:0046668	3.834e-02	2.175e-03	3.666e-02
10	GO:0043087	3.836e-02	2.178e-03	3.666e-02
10	GO:0006417	3.841e-02	2.185e-03	3.671e-02
10	GO:0030695	3.849e-02	2.195e-03	3.682e-02
10	GO:0051437	3.868e-02	2.226e-03	3.729e-02
10	GO:0030291	3.883e-02	2.249e-03	3.761e-02
10	GO:0016860	3.928e-02	2.317e-03	3.868e-02
10	GO:0035136	3.946e-02	2.344e-03	3.907e-02
10	GO:0007032	3.956e-02	2.360e-03	3.926e-02
10	GO:0006839	3.975e-02	2.387e-03	3.965e-02
10	GO:0008517	3.982e-02	2.398e-03	3.976e-02
10	GO:0006066	3.990e-02	2.408e-03	3.983e-02
10	GO:0050772	3.991e-02	2.410e-03	3.983e-02
10	GO:0021953	3.993e-02	2.413e-03	3.983e-02
10	GO:0006611	3.997e-02	2.420e-03	3.987e-02
10	GO:0033158	4.058e-02	2.517e-03	4.128e-02
10	GO:0031145	4.058e-02	2.517e-03	4.128e-02
10	GO:0022603	4.059e-02	2.517e-03	4.128e-02
10	GO:0048514	4.086e-02	2.560e-03	4.192e-02
10	GO:0032355	4.108e-02	2.597e-03	4.243e-02
10	GO:0016758	4.111e-02	2.603e-03	4.243e-02
10	GO:0019206	4.111e-02	2.604e-03	4.243e-02
10	GO:0035088	4.125e-02	2.626e-03	4.260e-02
10	GO:0070875	4.132e-02	2.639e-03	4.260e-02
10	GO:0030665	4.133e-02	2.642e-03	4.260e-02
10	GO:0005244	4.133e-02	2.642e-03	4.260e-02
10	GO:0022832	4.133e-02	2.642e-03	4.260e-02
10	GO:0030335	4.133e-02	2.642e-03	4.260e-02
10	GO:0032365	4.135e-02	2.644e-03	4.260e-02
10	GO:0006402	4.172e-02	2.707e-03	4.349e-02
