TpMarkReplicate	bigWig_ID	pseudorepPeak_ID					
H048H3K4me1X1	ENCFF110UMH	ENCFF646XHM					
H048H3K4me1X2	ENCFF544MQK	ENCFF646XHM					
H048H3K4me2X1	ENCFF359ELW	ENCFF750DCV					
H048H3K4me2X2	ENCFF587HPW	ENCFF750DCV					
H048H3K4me3X1	ENCFF636QUJ	ENCFF395ZYC					
H048H3K4me3X2	ENCFF975IQI	ENCFF395ZYC					
H048H3K9acX1	ENCFF621CIH	ENCFF028YZS					
H048H3K9acX2	ENCFF111PUY	ENCFF028YZS					
H048H3K9me3X1	ENCFF762GZK	ENCFF968UVN					
H048H3K9me3X2	ENCFF145MRO	ENCFF968UVN					
H048H4K20me1X1	ENCFF176NQR	ENCFF693CZZ					
H048H4K20me1X2	ENCFF939REJ	ENCFF693CZZ					
H072H3K27acX1	ENCFF815AET	ENCFF091CDR					
H072H3K27acX2	ENCFF712UTH	ENCFF091CDR					
H072H3K27me3X1	ENCFF673SEW	ENCFF043JKI					
H072H3K27me3X2	ENCFF712LKD	ENCFF043JKI					
H072H3K36me3X1	ENCFF984QMN	ENCFF628YNY					
H072H3K36me3X2	ENCFF072IPK	ENCFF628YNY					
H072H3K4me1X1	ENCFF156KEN	ENCFF584XSV					
H072H3K4me1X2	ENCFF802ZOI	ENCFF584XSV					
H072H3K4me2X1	ENCFF846PZQ	ENCFF869WRW					
H072H3K4me2X2	ENCFF096KGE	ENCFF869WRW					
H072H3K4me3X1	ENCFF866MPA	ENCFF931RBV					
H072H3K4me3X2	ENCFF589RLK	ENCFF931RBV					
H072H3K9acX1	ENCFF402OGK	ENCFF070BCQ					
H072H3K9acX2	ENCFF630CLM	ENCFF070BCQ					
H072H3K9me3X1	ENCFF964FSK	ENCFF821HIH					
H072H3K9me3X2	ENCFF148AHJ	ENCFF821HIH					
H072H4K20me1X1	ENCFF469DJT	ENCFF477PNF					
H072H4K20me1X2	ENCFF650QEL	ENCFF477PNF					
H120H3K27acX1	ENCFF436OAA	ENCFF673ZCH					
H120H3K27acX2	ENCFF694ELP	ENCFF673ZCH					
H120H3K27me3X1	ENCFF212LDG	ENCFF846XIJ					
H120H3K27me3X2	ENCFF966OHF	ENCFF846XIJ					
H120H3K36me3X1	ENCFF410NRA	ENCFF627IHN					
H120H3K36me3X2	ENCFF930HXY	ENCFF627IHN					
H120H3K4me1X1	ENCFF695XGN	ENCFF693IZJ					
H120H3K4me1X2	ENCFF838EVB	ENCFF693IZJ					
H120H3K4me2X1	ENCFF426CGZ	ENCFF045AHU					
H120H3K4me2X2	ENCFF453BLR	ENCFF045AHU					
H120H3K4me3X1	ENCFF629HVP	ENCFF250XNV					
H120H3K4me3X2	ENCFF163ZTQ	ENCFF250XNV					
H120H3K9acX1	ENCFF634ZRR	ENCFF501KTY					
H120H3K9acX2	ENCFF072GKB	ENCFF501KTY					
H120H3K9me3X1	ENCFF965NFJ	ENCFF404KOM					
H120H3K9me3X2	ENCFF434KCM	ENCFF404KOM					
H120H4K20me1X1	ENCFF647MWA	ENCFF917DJR					
H120H4K20me1X2	ENCFF004BHU	ENCFF917DJR					
H168H3K27acX1	ENCFF222DAC	ENCFF603FVA					
H168H3K27acX2	ENCFF658WBY	ENCFF603FVA					
H168H3K27me3X1	ENCFF498UNI	ENCFF277YUM					
H168H3K27me3X2	ENCFF977HIQ	ENCFF277YUM					
H168H3K36me3X1	ENCFF129VZZ	ENCFF974JUZ					
H168H3K36me3X2	ENCFF254YLD	ENCFF974JUZ					
H168H3K4me1X1	ENCFF385ASU	ENCFF203EXC					
H168H3K4me1X2	ENCFF069NUL	ENCFF203EXC					
H168H3K4me2X1	ENCFF709PWM	ENCFF729NUS					
H168H3K4me2X2	ENCFF622CTI	ENCFF729NUS					
H168H3K4me3X1	ENCFF138NWX	ENCFF674RMB					
H168H3K4me3X2	ENCFF150UNU	ENCFF674RMB					
H168H3K9acX1	NCFF706XSA.	ENCFF018PBJ					
H168H3K9acX2	ENCFF408RUX	ENCFF018PBJ					
H168H3K9me3X1	ENCFF656XUV	ENCFF256YQG					
H168H3K9me3X2	ENCFF773JYP	ENCFF256YQG					
H168H4K20me1X1	ENCFF018OVW	ENCFF120APV					
H168H4K20me1X2	ENCFF487CIJ	ENCFF120APV					
							
